date,last_price,open_price,max_price,min_price,avg_price
2023-05-01,226.2,222.5,226.7,222.5,224.4
2023-04-01,222.6,208.9,222.7,208.9,215.8
2023-03-01,209.0,197.6,209.0,197.2,203.3
2023-02-01,197.2,186.9,197.2,186.9,192.0
2023-01-01,187.0,177.6,187.0,177.6,182.3
2022-12-01,176.7,167.2,177.1,167.2,172.0
2022-11-01,167.3,156.8,167.4,156.8,162.1
2022-10-01,156.9,147.3,156.9,147.3,152.1
2022-09-01,147.3,138.7,147.3,138.7,143.0
2022-08-01,138.7,131.2,138.8,131.2,135.0
2022-07-01,131.3,125.4,131.3,125.4,128.3
2022-06-01,125.2,120.1,125.2,120.1,122.7
2022-05-01,120.2,115.3,120.2,115.3,117.7
2022-04-01,115.3,111.0,115.3,111.0,113.1
2022-03-01,111.0,107.4,111.1,107.4,109.2
2022-02-01,107.4,105.1,107.5,105.0,106.2
2022-01-01,105.0,103.1,105.0,102.7,104.0
2021-12-01,102.7,100.9,102.8,100.9,101.8
2021-11-01,100.9,99.6,101.0,99.6,100.3
2021-10-01,99.6,98.7,99.7,98.7,99.1
2021-09-01,98.7,97.7,98.8,97.7,98.2
2021-08-01,97.7,96.6,97.8,96.6,97.2
2021-07-01,96.7,95.6,96.7,95.6,96.2
2021-06-01,95.7,94.6,95.8,94.6,95.2
2021-05-01,94.5,93.5,94.7,93.3,94.0
2021-04-01,93.4,91.9,93.6,91.4,92.6
2021-03-01,92.0,89.7,92.1,89.7,90.9
2021-02-01,89.8,87.5,89.8,87.3,88.6
2021-01-01,87.3,84.1,87.3,84.1,85.7
2020-12-01,84.1,81.3,84.2,81.2,82.7
2020-11-01,81.3,78.2,81.6,78.2,79.8
2020-10-01,78.3,76.2,78.4,76.1,77.3
2020-09-01,76.2,74.1,76.2,74.1,75.2
2020-08-01,74.0,72.2,74.2,72.2,73.1
2020-07-01,72.3,70.5,72.3,70.4,71.4
2020-06-01,70.3,68.5,70.5,68.4,69.4
2020-05-01,68.4,66.8,68.5,66.0,67.6
2020-04-01,66.8,64.4,66.9,64.2,65.6
2020-03-01,64.2,62.1,64.6,62.1,63.2
2020-02-01,62.1,60.0,62.3,60.0,61.1
2020-01-01,60.3,59.8,60.4,59.6,60.0
2019-12-01,59.9,59.8,60.2,59.6,59.9
2019-11-01,59.9,59.6,60.0,59.4,59.7
2019-10-01,59.6,57.6,63.5,57.5,58.6
2019-09-01,57.6,59.5,60.5,53.7,58.5
2019-08-01,59.5,43.8,63.5,43.8,51.7
2019-07-01,43.8,42.5,44.0,41.5,43.1
2019-06-01,42.5,44.8,45.2,42.1,43.6
2019-05-01,44.7,44.3,45.9,44.2,44.5
2019-04-01,44.2,43.4,46.5,41.3,43.8
2019-03-01,43.3,39.1,44.0,39.1,41.2
2019-02-01,39.1,37.3,40.7,36.8,38.2
2019-01-01,37.3,37.7,38.3,36.7,37.5
2018-12-01,37.6,37.3,38.8,36.3,37.4
2018-11-01,37.7,35.9,39.3,35.2,36.8
2018-10-01,35.9,41.3,41.3,35.4,38.6
2018-09-01,41.3,37.3,41.8,36.1,39.3
2018-08-01,36.8,27.6,41.8,27.1,32.2
2018-07-01,27.4,28.9,29.0,27.0,28.2
2018-06-01,28.9,25.0,29.7,24.8,26.9
2018-05-01,24.9,20.5,25.0,20.5,22.7
2018-04-01,20.5,20.1,20.9,20.1,20.3
2018-03-01,20.1,20.2,20.5,20.1,20.2
2018-02-01,20.1,19.6,20.3,19.3,19.8
2018-01-01,19.6,18.6,19.7,18.3,19.1
2017-12-01,18.6,17.3,19.2,17.2,17.9
2017-11-01,17.3,17.6,17.7,17.3,17.5
2017-10-01,17.6,17.3,17.8,17.2,17.5
2017-09-01,17.3,17.3,17.7,17.0,17.3
2017-08-01,17.3,17.7,17.9,17.0,17.5
2017-07-01,17.6,16.8,17.8,16.7,17.2
2017-06-01,16.6,16.1,16.7,15.8,16.4
2017-05-01,16.1,15.4,16.2,15.2,15.7
2017-04-01,15.4,15.4,15.5,15.1,15.4
2017-03-01,15.4,15.5,15.8,15.3,15.4
2017-02-01,15.5,15.9,15.9,15.3,15.7
2017-01-01,15.9,15.9,16.1,15.7,15.9
2016-12-01,15.9,15.9,16.1,15.5,15.9
2016-11-01,15.9,15.2,16.0,14.9,15.5
2016-10-01,15.1,15.3,15.3,15.0,15.2
2016-09-01,15.3,14.9,15.4,14.8,15.1
2016-08-01,14.9,15.0,15.2,14.6,15.0
2016-07-01,15.0,15.1,15.3,14.6,15.0
2016-06-01,15.0,14.0,15.4,13.7,14.5
2016-05-01,14.0,14.3,14.4,13.9,14.1
2016-04-01,14.3,14.7,14.9,14.0,14.5
2016-03-01,14.7,15.8,16.0,14.1,15.3
2016-02-01,15.8,13.9,15.8,13.9,14.9
2016-01-01,13.9,12.9,14.1,12.9,13.4
2015-12-01,12.9,9.7,14.0,9.7,11.3
2015-11-01,9.7,9.5,9.7,9.4,9.6
2015-10-01,9.5,9.4,9.5,9.3,9.5
2015-09-01,9.4,9.3,9.4,9.3,9.4
2015-08-01,9.3,9.2,9.3,9.2,9.2
2015-07-01,9.2,9.1,9.2,9.1,9.1
2015-06-01,9.1,9.0,9.1,9.0,9.1
2015-05-01,9.0,8.9,9.0,8.9,9.0
2015-04-01,8.9,8.8,8.9,8.8,8.9
2015-03-01,8.8,8.7,8.8,8.7,8.8
2015-02-01,8.7,8.6,8.7,8.6,8.7
2015-01-01,8.6,8.6,8.7,8.5,8.6
2014-12-01,8.5,8.5,8.6,8.5,8.5
2014-11-01,8.5,8.5,8.5,8.5,8.5
2014-10-01,8.5,8.4,8.5,8.4,8.5
2014-09-01,8.4,8.4,8.5,8.4,8.4
2014-08-01,8.4,8.2,8.4,8.2,8.3
2014-07-01,8.2,8.1,8.3,8.1,8.2
2014-06-01,8.1,8.1,8.2,8.1,8.1
2014-05-01,8.1,8.0,8.1,8.0,8.0
2014-04-01,8.0,8.0,8.0,8.0,8.0
2014-03-01,8.0,7.9,8.0,7.9,7.9
2014-02-01,7.9,8.0,8.1,7.7,8.0
2014-01-01,8.0,6.5,8.2,6.5,7.3
2013-12-01,6.5,6.1,6.5,6.1,6.3
2013-11-01,6.1,5.9,6.1,5.9,6.0
2013-10-01,5.9,5.8,5.9,5.8,5.8
2013-09-01,5.8,5.7,5.8,5.7,5.7
2013-08-01,5.7,5.5,5.7,5.5,5.6
2013-07-01,5.5,5.4,5.5,5.4,5.4
2013-06-01,5.4,5.3,5.4,5.3,5.3
2013-05-01,5.3,5.2,5.3,5.2,5.2
2013-04-01,5.2,5.1,5.2,5.1,5.2
2013-03-01,5.1,5.0,5.1,5.0,5.1
2013-02-01,5.0,5.0,5.0,5.0,5.0
2013-01-01,5.0,4.9,5.0,4.9,4.9
2012-12-01,4.9,4.8,4.9,4.8,4.9
2012-11-01,4.8,4.8,4.8,4.8,4.8
2012-10-01,4.8,4.7,4.8,4.7,4.7
2012-09-01,4.7,4.6,4.7,4.6,4.7
2012-08-01,4.6,4.6,4.6,4.6,4.6
2012-07-01,4.6,4.5,4.6,4.5,4.6
2012-06-01,4.5,4.5,4.5,4.4,4.5
2012-05-01,4.5,4.4,4.5,4.4,4.4
2012-04-01,4.4,4.4,4.4,4.4,4.4
2012-03-01,4.4,4.4,4.4,4.3,4.4
2012-02-01,4.4,4.3,4.4,4.3,4.3
2012-01-01,4.3,4.3,4.3,4.3,4.3
2011-12-01,4.3,4.3,4.3,4.3,4.3
2011-11-01,4.3,4.2,4.3,4.2,4.3
2011-10-01,4.2,4.2,4.2,4.2,4.2
2011-09-01,4.2,4.2,4.2,4.2,4.2
2011-08-01,4.2,4.1,4.2,4.1,4.2
2011-07-01,4.1,4.1,4.1,4.1,4.1
2011-06-01,4.1,4.1,4.1,4.1,4.1
2011-05-01,4.1,4.1,4.1,4.1,4.1
2011-04-01,4.1,4.1,4.1,4.0,4.1
2011-03-01,4.1,4.0,4.1,4.0,4.0
2011-02-01,4.0,4.0,4.0,4.0,4.0
2011-01-01,4.0,4.0,4.0,4.0,4.0
2010-12-01,4.0,4.0,4.0,4.0,4.0
2010-11-01,4.0,4.0,4.0,4.0,4.0
2010-10-01,4.0,4.0,4.0,3.9,4.0
2010-09-01,4.0,3.9,4.0,3.9,4.0
2010-08-01,3.9,3.9,4.0,3.9,3.9
2010-07-01,3.9,3.9,3.9,3.9,3.9
2010-06-01,3.9,3.9,3.9,3.9,3.9
2010-05-01,3.9,3.9,3.9,3.9,3.9
2010-04-01,3.9,3.9,3.9,3.9,3.9
2010-03-01,3.9,3.9,3.9,3.9,3.9
2010-02-01,3.9,3.8,3.9,3.8,3.8
2010-01-01,3.8,3.8,3.8,3.8,3.8
